IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
Yth_daily_tob_use,Prevalence of daily tobacco use among adolescents (%),text,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2017,true,Sex,Female,SEX_FMLE,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-06T23:00:00.000Z
Yth_daily_tob_use,Prevalence of daily tobacco use among adolescents (%),text,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2017,true,Sex,Male,SEX_MLE,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-06T23:00:00.000Z
Yth_daily_tob_use,Prevalence of daily tobacco use among adolescents (%),text,AMR,Americas,Country,COL,Colombia,Year,2017,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-06T23:00:00.000Z
Yth_daily_tob_use,Prevalence of daily tobacco use among adolescents (%),text,AMR,Americas,Country,COL,Colombia,Year,2017,true,Sex,Female,SEX_FMLE,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-06T23:00:00.000Z
Yth_daily_tob_use,Prevalence of daily tobacco use among adolescents (%),text,AMR,Americas,Country,COL,Colombia,Year,2017,true,Sex,Male,SEX_MLE,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-06T23:00:00.000Z
Yth_daily_tob_use,Prevalence of daily tobacco use among adolescents (%),text,AFR,Africa,Country,GMB,Gambia,Year,2017,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-06T23:00:00.000Z
Yth_daily_tob_use,Prevalence of daily tobacco use among adolescents (%),text,AFR,Africa,Country,GMB,Gambia,Year,2017,true,Sex,Female,SEX_FMLE,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-06T23:00:00.000Z
Yth_daily_tob_use,Prevalence of daily tobacco use among adolescents (%),text,AFR,Africa,Country,GMB,Gambia,Year,2017,true,Sex,Male,SEX_MLE,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-06T23:00:00.000Z
Yth_daily_tob_use,Prevalence of daily tobacco use among adolescents (%),text,AFR,Africa,Country,GHA,Ghana,Year,2017,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-06T23:00:00.000Z
Yth_daily_tob_use,Prevalence of daily tobacco use among adolescents (%),text,AFR,Africa,Country,GHA,Ghana,Year,2017,true,Sex,Female,SEX_FMLE,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-06T23:00:00.000Z
Yth_daily_tob_use,Prevalence of daily tobacco use among adolescents (%),text,AFR,Africa,Country,GHA,Ghana,Year,2017,true,Sex,Male,SEX_MLE,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-06T23:00:00.000Z
Yth_daily_tob_use,Prevalence of daily tobacco use among adolescents (%),text,AMR,Americas,Country,JAM,Jamaica,Year,2017,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-06T23:00:00.000Z
Yth_daily_tob_use,Prevalence of daily tobacco use among adolescents (%),text,AMR,Americas,Country,JAM,Jamaica,Year,2017,true,Sex,Female,SEX_FMLE,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-06T23:00:00.000Z
Yth_daily_tob_use,Prevalence of daily tobacco use among adolescents (%),text,AMR,Americas,Country,JAM,Jamaica,Year,2017,true,Sex,Male,SEX_MLE,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-06T23:00:00.000Z
Yth_daily_tob_use,Prevalence of daily tobacco use among adolescents (%),text,WPR,Western Pacific,Country,JPN,Japan,Year,2017,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-06T23:00:00.000Z
Yth_daily_tob_use,Prevalence of daily tobacco use among adolescents (%),text,WPR,Western Pacific,Country,JPN,Japan,Year,2017,true,Sex,Female,SEX_FMLE,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-06T23:00:00.000Z
Yth_daily_tob_use,Prevalence of daily tobacco use among adolescents (%),text,WPR,Western Pacific,Country,JPN,Japan,Year,2017,true,Sex,Male,SEX_MLE,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-06T23:00:00.000Z
